Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,63.099998,63.099998,62.310001,62.480000,59.681309,14460700
2020-01-03,62.250000,62.650002,62.090000,62.380001,59.585789,26388900
2020-01-06,62.290001,62.590000,62.180000,62.509998,59.709965,22541700
2020-01-07,62.320000,62.380001,61.980000,62.029999,59.251465,15607600
2020-01-08,62.080002,62.520000,61.959999,62.259998,59.471165,11451400
2020-01-09,62.450001,62.709999,62.299999,62.700001,59.891457,6854500
2020-01-10,62.759998,62.849998,62.580002,62.660000,59.853249,7410800
2020-01-13,62.680000,63.080002,62.650002,63.070000,60.244881,9625700
2020-01-14,62.990002,63.119999,62.910000,63.090000,60.263985,7512300
2020-01-15,63.040001,63.669998,63.009998,63.540001,60.693829,12454300
2020-01-16,63.619999,63.759998,63.549999,63.709999,60.856216,8048600
2020-01-17,63.700001,63.959999,63.619999,63.820000,60.961292,14902700
2020-01-21,63.730000,64.070000,63.509998,64.040001,61.171436,11300300
2020-01-22,64.059998,64.239998,64.040001,64.089996,61.219189,8046500
2020-01-23,63.880001,64.199997,63.639999,64.029999,61.161884,14563100
2020-01-24,64.080002,64.160004,63.389999,63.590000,60.741589,11935100
2020-01-27,63.049999,63.689999,63.009998,63.389999,60.550541,8748400
2020-01-28,63.430000,63.660000,63.369999,63.470001,60.626972,7899500
2020-01-29,63.520000,63.570000,63.150002,63.150002,60.321304,8300800
2020-01-30,63.180000,63.950001,63.139999,63.900002,61.037708,13824800
2020-01-31,63.930000,64.209999,63.000000,63.180000,60.349953,15280000
2020-02-03,63.410000,63.650002,63.130001,63.180000,60.349953,21797600
2020-02-04,63.680000,63.990002,63.430000,63.560001,60.712936,14290900
2020-02-05,63.770000,64.099998,63.689999,64.070000,61.200089,20911400
2020-02-06,64.139999,64.519997,64.010002,64.180000,61.305164,9628500
2020-02-07,64.180000,64.389999,63.990002,64.260002,61.381580,14849000
2020-02-10,64.290001,64.650002,64.269997,64.529999,61.639481,7394100
2020-02-11,64.629997,64.629997,64.239998,64.290001,61.410236,8375700
2020-02-12,64.370003,64.389999,64.129997,64.260002,61.381580,8479000
