Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,126.209999,126.910004,125.720001,126.910004,124.931587,6295500
2020-01-03,125.300003,126.199997,125.220001,125.830002,123.868416,5596400
2020-01-06,124.910004,126.209999,124.750000,126.180000,124.212959,6411600
2020-01-07,126.099998,126.269997,125.449997,125.980003,124.016083,9150800
2020-01-08,125.870003,127.050003,125.750000,126.360001,124.390152,4725900
2020-01-09,127.029999,127.489998,126.709999,127.029999,125.049713,3821500
2020-01-10,127.190002,127.190002,126.209999,126.339996,124.370461,3703500
2020-01-13,126.599998,126.940002,126.239998,126.739998,124.764236,3224600
2020-01-14,126.540001,127.110001,126.339996,126.699997,124.724854,4340600
2020-01-15,126.349998,126.849998,126.099998,126.410004,124.439377,3261900
2020-01-16,127.139999,127.559998,127.029999,127.540001,125.551758,4349500
2020-01-17,127.879997,128.169998,127.730003,127.989998,125.994743,6736600
2020-01-21,127.339996,127.790001,126.919998,127.599998,125.610825,4001900
2020-01-22,128.070007,128.529999,127.430000,127.540001,125.551758,3965100
2020-01-23,126.889999,127.889999,126.239998,127.730003,125.738800,3995900
2020-01-24,127.980003,128.050003,125.400002,125.949997,123.986542,5690900
2020-01-27,123.230003,124.709999,122.989998,124.070000,122.135857,7877100
2020-01-28,124.669998,125.750000,124.190002,125.279999,123.326996,5907700
2020-01-29,125.690002,126.180000,125.120003,125.209999,123.258080,2930000
2020-01-30,124.230003,125.129997,123.980003,125.000000,123.051353,5230500
2020-01-31,127.559998,127.730003,125.059998,125.320000,123.366371,8422000
2020-02-03,126.019997,127.769997,126.010002,126.209999,124.242485,8009500
2020-02-04,128.059998,128.940002,127.769997,128.509995,126.506615,8348600
2020-02-05,129.360001,129.520004,128.259995,129.160004,127.146515,6677000
2020-02-06,129.449997,129.479996,128.869995,128.869995,126.861031,5519900
2020-02-07,128.289993,128.919998,127.790001,128.309998,126.309761,3633800
2020-02-10,128.210007,129.770004,128.210007,129.759995,127.737137,2933600
2020-02-11,130.289993,131.339996,129.970001,130.779999,128.741257,5507900
2020-02-12,131.429993,132.190002,131.410004,132.119995,130.060379,3905300
2020-02-13,131.600006,132.380005,131.229996,131.889999,129.833954,3553400
2020-02-14,132.139999,132.300003,131.330002,131.690002,129.637054,2479800
2020-02-18,131.500000,132.110001,130.949997,131.679993,129.627213,3370100
2020-02-19,132.149994,132.729996,132.080002,132.270004,130.208023,2318100
2020-02-20,132.160004,132.679993,130.690002,132.320007,130.257248,5416400
2020-02-21,131.740005,131.880005,129.960007,130.300003,128.268753,6161300
2020-02-24,125.879997,127.040001,125.199997,125.820000,123.858574,8753600
2020-02-25,126.919998,127.190002,122.169998,122.459999,120.550949,14609800
2020-02-26,123.190002,124.330002,121.180000,121.489998,119.596069,12360400
2020-02-27,119.000000,121.480003,116.519997,116.580002,114.762611,17716900
2020-02-28,112.800003,116.000000,112.529999,115.830002,114.024307,20616100
2020-03-02,116.180000,119.820000,114.550003,119.809998,117.942261,9511200
2020-03-03,120.160004,121.739998,115.800003,116.910004,115.087479,14774300
2020-03-04,118.739998,121.050003,117.449997,120.949997,119.064476,7342200
2020-03-05,118.059998,118.830002,115.540001,116.440002,114.624802,7299800
2020-03-06,112.889999,115.269997,112.169998,114.650002,112.862709,8327500
2020-03-09,106.080002,110.699997,103.500000,107.430000,105.755264,8414900
2020-03-10,111.209999,113.370003,107.370003,113.370003,111.602654,10969600
2020-03-11,110.269997,110.820000,106.139999,107.169998,105.499298,7627300
